Ano,Pico,Crescimento_Percentual
2015,18421.0,0.0
2016,19476.5,6.0
2017,18008.75,-8.0
2018,15223.0,-15.0
2019,14957.666666666666,-2.0
2020,23277.416666666668,56.0
2021,23905.25,3.0
2022,20111.666666666668,-16.0
2023,18376.416666666668,-9.0
2024,13889.5,-24.0
2025,3097.5,-78.0
2026,2413.5,-22.0
